dataset,method,tau,layers,selection,best_epoch,label,recall@3,ndcg@3,arhr@3,recall@5,ndcg@5,arhr@5,recall@10,ndcg@10,arhr@10,recall@20,ndcg@20,arhr@20,recall@50,ndcg@50,arhr@50
epinions,lightccn_multi,,2,val-best-recall@20,100,stateful_e__softmax__global__L2__none,0.013606714285140355,0.01663866340944692,0.00890975600711731,0.020571939047877845,0.018806734234646173,0.010490781037435438,0.03387384820964386,0.023059302437252693,0.012247717794985876,0.053542148693229076,0.02880873670491434,0.013578852990835914,0.08956278929009766,0.03799700745582965,0.014708329229889846
epinions,lightccn_multi,,3,test-frame,280,twr__epinions__ho_item__L3__tst,0.015778745237851874,0.01886647235674749,0.010474111192844242,0.02422971262087648,0.021555814924849852,0.01239159092820014,0.039538047734356395,0.026421991361491814,0.014383745101168601,0.061590906329521695,0.03289552764890883,0.01589303785248922,0.1012523954594072,0.042891971092361925,0.017138556546347623
epinions,lightccn_multi,,3,val-best-recall@20,180,twr__epinions__ho_both__L3__val,0.014982799863176624,0.01801726826107663,0.009837720036368302,0.021864370211835314,0.019920007150907956,0.011405784349825487,0.035278163494488285,0.024183761352009895,0.013132342458501332,0.054966094014026454,0.030049451130624447,0.014492933305607192,0.093776830620016,0.03987314509510106,0.015706775919872903
epinions,lightccn_multi,,3,test-frame,280,twr__epinions__ho_both__L3__tst,0.01622797191167874,0.01917709504066296,0.01059151710469207,0.024096297375607808,0.021563857483075655,0.012367310345001943,0.03952365735280863,0.026438650215766323,0.014366382873763137,0.06173677402861291,0.03294625016559412,0.01588812913002043,0.10155544077725152,0.042982086277402416,0.017143361746443625
epinions,lightccn_multi,,3,val-best-recall@20,180,twr__epinions__ho_item__L3__val,0.014998967109491142,0.01795644972454946,0.009864430022205642,0.02177011756282824,0.01987440648991066,0.01141264541729643,0.035465639689005526,0.024219865775944087,0.013183796916487606,0.05436870338495723,0.029858594906270346,0.01448701828537993,0.09267412800491218,0.0396148583959795,0.015688171560159687
epinions,lightccn_multi,,3,val-best-recall@20,120,stateful_e__softmax__global__L3__ho_user,0.01589462070508606,0.019165726240104288,0.01042645147905249,0.023098975527623192,0.02117442321785248,0.012058077888120373,0.036710748922456335,0.025396326519045324,0.01382905684339436,0.056903316757116434,0.03132253742072997,0.015200968813996957,0.09469695281086432,0.04094024029912698,0.016387783555897772
epinions,lightccn_multi,,3,val-best-recall@20,180,derived_ef__softmax__global__L3__none,0.015374702370564855,0.018564055533772893,0.009907899154599933,0.02221148628095997,0.02044613026851849,0.011470397905530613,0.03630129305169206,0.024840007663396477,0.01332089532429937,0.05662731762547407,0.030869026319132884,0.014715970203337975,0.09424583833959954,0.040400031181491165,0.015897384511983168
epinions,lightccn_multi,,3,val-best-recall@20,130,derived_e__softmax__global__L3__ho_user,0.015663955500594715,0.01897351765697393,0.010299099683328091,0.02298872765598439,0.02110367040161386,0.011955400289166382,0.036770557260884296,0.025368748831118074,0.01375095450373939,0.05713902265607986,0.03141103191053335,0.015147429210978385,0.0943787278701981,0.040840062672142644,0.016306405095700752
epinions,lightccn_multi,,3,val-best-recall@20,180,stateful_e__softmax__global__L3__none,0.015235261106542377,0.01851986451772519,0.009920952207985636,0.022455057162678486,0.020635555305612216,0.011562704343622943,0.036368598798565376,0.024907966974151707,0.013372500926496039,0.05654409522570964,0.030914166075157522,0.01476303873119274,0.0947027648595213,0.04055570615922797,0.015956293281162628
epinions,lightccn_multi,,3,val-best-recall@20,180,stateful_ef__softmax__global__L3__none,0.015073559930284964,0.018409206690232927,0.009921138309195115,0.02232659197748162,0.020583741322600685,0.011573881788529203,0.03627312107728439,0.02490971145398283,0.013401429854738463,0.056569548908666265,0.030951937368439694,0.01480227201822515,0.09498420293403806,0.040639931439219734,0.01599904670275193
epinions,lightccn_multi,,3,val-best-recall@20,30,derived_ef__softplus__global__L3__ho_user,0.014149103928567872,0.017680435418995815,0.009410179906367678,0.020786696453565852,0.019444463929642216,0.010917764249793982,0.03424523520135849,0.023676973595239088,0.012665147972274122,0.054279839167924414,0.029600655854277444,0.014034558874229618,0.08961032884240308,0.038540511679485856,0.01514357723559462
epinions,lightccn_multi,,3,val-best-recall@20,180,derived_e__softmax__global__L3__none,0.015354080053436574,0.018478335853102615,0.009932587333253905,0.022264337205154444,0.020490574099309492,0.011508593525784446,0.036182047111329226,0.02487035215401539,0.013332568580715503,0.05662886979560873,0.03093095016618875,0.014740396115174905,0.09495003989981744,0.04060395598728497,0.015936175575741743
epinions,lightccn_multi,,3,val-best-recall@20,130,derived_ef__softmax__global__L3__ho_user,0.015564639594889273,0.019031662075848867,0.010397448327400255,0.022698584256045564,0.02102892864155738,0.012027636694457604,0.036633221413108784,0.02540458449709618,0.013852338603022875,0.05586171403302751,0.03114950314736707,0.015178772559677171,0.09471076579707567,0.04095444475795877,0.01639958582724062
